Value::8 7 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[2.0,3.6,3.5,2.4,3.0,2.8,3.2,2.6,2.3,3.9,3.1,3.3,2.9,2.7,3.4,3.8,2.1,4.2,2.2,2.5]:[0.024390243902439025,0.04878048780487805,0.06097560975609756,0.04878048780487805,0.07317073170731707,0.10975609756097561,0.06097560975609756,0.024390243902439025,0.036585365853658534,0.024390243902439025,0.07317073170731707,0.06097560975609756,0.10975609756097561,0.07317073170731707,0.06097560975609756,0.012195121951219513,0.036585365853658534,0.012195121951219513,0.024390243902439025,0.024390243902439025];GuiltRep::[2.0,3.6,3.5,2.4,3.0,2.8,3.2,2.6,2.3,3.9,3.1,3.3,2.9,2.7,3.4,3.8,2.1,4.2,2.2,2.5]:[4,8,10,8,12,18,10,4,6,4,12,10,18,12,10,2,6,2,4,4];SumPayOffs::32150352;MinPayOffs::-609528;MaxPayOffs::337624;Iteration::210

Value::9 7 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[3.1,2.7,2.0,3.8,2.5,3.6,3.4,2.1,2.6,1.7,3.2,3.3,2.8,2.2,2.4,1.8,3.5,1.9,2.9,4.3,3.9,2.3,3.0]:[0.04878048780487805,0.12195121951219512,0.012195121951219513,0.036585365853658534,0.07317073170731707,0.024390243902439025,0.036585365853658534,0.012195121951219513,0.07317073170731707,0.012195121951219513,0.08536585365853659,0.04878048780487805,0.0975609756097561,0.024390243902439025,0.07317073170731707,0.024390243902439025,0.012195121951219513,0.024390243902439025,0.04878048780487805,0.012195121951219513,0.012195121951219513,0.036585365853658534,0.04878048780487805];GuiltRep::[3.1,2.7,2.0,3.8,2.5,3.6,3.4,2.1,2.6,1.7,3.2,3.3,2.8,2.2,2.4,1.8,3.5,1.9,2.9,4.3,3.9,2.3,3.0]:[8,20,2,6,12,4,6,2,12,2,14,8,16,4,12,4,2,4,8,2,2,6,8];SumPayOffs::37382216;MinPayOffs::-358552;MaxPayOffs::294972;Iteration::150

Value::10 7 1 0 ;C::0;D::164;IdealRepartition::[Rawls]:[164];GainFreq::[2.3,2.8,3.3,2.4,3.4,2.9,1.9,3.1,3.0,2.5,2.7,2.2,2.6,3.2,4.1,3.6,1.8,3.8,3.7,1.4,3.5,3.9]:[0.036585365853658534,0.10975609756097561,0.0975609756097561,0.04878048780487805,0.024390243902439025,0.10975609756097561,0.024390243902439025,0.07317073170731707,0.10975609756097561,0.024390243902439025,0.04878048780487805,0.036585365853658534,0.07317073170731707,0.036585365853658534,0.012195121951219513,0.036585365853658534,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.036585365853658534,0.012195121951219513];GuiltRep::[2.3,2.8,3.3,2.4,3.4,2.9,1.9,3.1,3.0,2.5,2.7,2.2,2.6,3.2,4.1,3.6,1.8,3.8,3.7,1.4,3.5,3.9]:[6,18,16,8,4,18,4,12,18,4,8,6,12,6,2,6,2,2,2,2,6,2];SumPayOffs::944696;MinPayOffs::-85648;MaxPayOffs::58196;Iteration::170

Value::9 8 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[3.2,2.7,2.0,2.6,2.2,2.8,2.9,3.0,3.1,2.5,4.1,2.3,3.7,4.0,2.4,3.6,3.4,1.7,2.1,3.3]:[0.10975609756097561,0.08536585365853659,0.012195121951219513,0.04878048780487805,0.024390243902439025,0.0975609756097561,0.10975609756097561,0.13414634146341464,0.14634146341463414,0.024390243902439025,0.012195121951219513,0.024390243902439025,0.012195121951219513,0.012195121951219513,0.04878048780487805,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.024390243902439025,0.036585365853658534];GuiltRep::[3.2,2.7,2.0,2.6,2.2,2.8,2.9,3.0,3.1,2.5,4.1,2.3,3.7,4.0,2.4,3.6,3.4,1.7,2.1,3.3]:[18,14,2,8,4,16,18,22,24,4,2,4,2,2,8,2,2,2,4,6];SumPayOffs::29355264;MinPayOffs::-478592;MaxPayOffs::261550;Iteration::120

Value::10 8 1 0 ;C::0;D::164;IdealRepartition::[Rawls]:[164];GainFreq::[3.6,2.9,2.6,2.7,3.3,3.5,3.1,1.3,4.0,3.0,2.8,3.9,2.5,2.4,1.8,2.1,4.3,1.5,3.4,2.3,2.0,2.2,3.2,4.2,1.9,1.6]:[0.012195121951219513,0.07317073170731707,0.10975609756097561,0.0975609756097561,0.0975609756097561,0.024390243902439025,0.06097560975609756,0.012195121951219513,0.012195121951219513,0.08536585365853659,0.036585365853658534,0.036585365853658534,0.07317073170731707,0.04878048780487805,0.012195121951219513,0.024390243902439025,0.012195121951219513,0.012195121951219513,0.036585365853658534,0.024390243902439025,0.012195121951219513,0.024390243902439025,0.024390243902439025,0.012195121951219513,0.012195121951219513,0.012195121951219513];GuiltRep::[3.6,2.9,2.6,2.7,3.3,3.5,3.1,1.3,4.0,3.0,2.8,3.9,2.5,2.4,1.8,2.1,4.3,1.5,3.4,2.3,2.0,2.2,3.2,4.2,1.9,1.6]:[2,12,18,16,16,4,10,2,2,14,6,6,12,8,2,4,2,2,6,4,2,4,4,2,2,2];SumPayOffs::-1274520;MinPayOffs::-109120;MaxPayOffs::55482;Iteration::160

Value::10 9 1 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[1.6,3.2,2.4,3.0,2.0,2.6,3.4,3.3,2.1,2.5,2.7,2.8,2.9,2.2,2.3,3.6,3.1,3.5,4.2,3.7,4.0,4.1]:[0.012195121951219513,0.0975609756097561,0.04878048780487805,0.10975609756097561,0.036585365853658534,0.024390243902439025,0.036585365853658534,0.024390243902439025,0.012195121951219513,0.024390243902439025,0.08536585365853659,0.17073170731707318,0.0975609756097561,0.036585365853658534,0.036585365853658534,0.012195121951219513,0.04878048780487805,0.012195121951219513,0.012195121951219513,0.036585365853658534,0.012195121951219513,0.012195121951219513];GuiltRep::[1.6,3.2,2.4,3.0,2.0,2.6,3.4,3.3,2.1,2.5,2.7,2.8,2.9,2.2,2.3,3.6,3.1,3.5,4.2,3.7,4.0,4.1]:[2,16,8,18,6,4,6,4,2,4,14,28,16,6,6,2,8,2,2,6,2,2];SumPayOffs::34292816;MinPayOffs::-702800;MaxPayOffs::321440;Iteration::140

Value::4 3 2 0 ;C::164;D::0;IdealRepartition::[Rawls]:[164];GainFreq::[2.5,2.0,2.8,3.4,3.3,3.5,2.9,3.6,3.2,3.1,2.2,2.4,2.7,3.8,2.6,3.0,2.3,2.1,1.9]:[0.08536585365853659,0.012195121951219513,0.06097560975609756,0.012195121951219513,0.06097560975609756,0.08536585365853659,0.10975609756097561,0.012195121951219513,0.04878048780487805,0.10975609756097561,0.04878048780487805,0.07317073170731707,0.07317073170731707,0.04878048780487805,0.036585365853658534,0.04878048780487805,0.04878048780487805,0.012195121951219513,0.012195121951219513];GuiltRep::[2.5,2.0,2.8,3.4,3.3,3.5,2.9,3.6,3.2,3.1,2.2,2.4,2.7,3.8,2.6,3.0,2.3,2.1,1.9]:[14,2,10,2,10,14,18,2,8,18,8,12,12,8,6,8,8,2,2];SumPayOffs::7798794;MinPayOffs::-157872;MaxPayOffs::89700;Iteration::150

